mp-628781,GeTe
mp-863847,FeO3
mp-557058,ZnS
mp-556485,ZnS
mvc-13958,SbF5
mp-684652,BeF2
mp-1008600,ZrN2
mvc-5485,CrO2
mp-1001825,LiBe
mp-1001825,LiBe
mp-542449,Sc5Cl8
mp-1068653,CaSi3Ir
mp-971683,C3N4
mp-1186,ZrS2
mp-1086673,DyTe3
mp-11009,CaC2(SN)2
mp-1078610,EuGe3
mp-23376,GaSeBr7
mp-2076,ZrSe2
mp-1097045,mp-1097045
mp-632657,ZrNCl
mp-580941,AgI
mp-27637,NiBr2
mp-770718,Mg(IO3)2
mp-997092,AuClO2
mp-570286,BiSe
mp-15956,YBC
mp-9889,GaS
mp-9810,TlFeSe2
mp-621694,CdCN2
mp-977592,Bi2Rh3S2
mp-573810,U2Te5
mvc-8404,CaGe2WO6
mp-764671,LiMn7O7F
mp-29607,Ag(TeMo)6
mp-541885,In3Te4
mp-570597,La2GeI2
mvc-1098,Ba2V3O8
mp-555236,Tm2Te5O13
mvc-11097,CrO3
mp-773462,MnTeO4
mp-850937,VF4
mp-764427,Li3V2(O2F)2
mp-675326,Nb4IrSe10
mp-861182,Li4TiS4
mp-754355,Tm(HO)3
mp-1094620,MgGa
mp-25119,VPbO3
mp-755350,BaLaI5
mp-558381,PtCI2O
mvc-10697,ZnFe4O9
mp-1009757,Se
mp-1008498,Ca
mp-1038788,CeMg
mp-1077525,U2S
mp-1066821,SN
mp-1016240,mp-1016240
mp-1025418,LaTe3
mp-1039120,CaMg
mp-1064979,NaI
mp-1038761,mp-1038761
mp-1880,SbF3
mp-28116,TiCl2
mp-643896,Na2Hf(HO)6
mp-561079,CdBiS2Br
mp-19387,CdWO4
mp-1031661,KRbMg6O7
mp-23224,BiTe
mp-641,As2S3
mp-1416,NbF4
mp-30031,CaI2
mp-20826,CuTe
mp-2129,NdGe2
mp-9399,SmTe3
mp-570506,ZrI2
mp-1443,Sn3F8
mp-28149,Bi9I2
mp-570219,InBr3
mp-28500,UTe5
mp-909,As2Se3
mp-720,TlF
mp-9399,SmTe3
mp-23170,IO2
mp-1334,Y2C
mp-985707,CoSn3
mp-7991,BN
mp-23315,IO3
mp-1880,SbF3
mp-850131,NiS2
mp-665,SnSe2
mp-850937,VF4
mp-1371,Sn3Pd
